datetime,SOL/USD,BTC/USD
2025-02-17 05:00:00,185.02,96401.76
2025-02-17 05:15:00,184.43,96270.1
2025-02-17 05:30:00,183.35,96094.88
2025-02-17 05:45:00,183.51,96109.95
2025-02-17 06:00:00,184.08,96240.49
2025-02-17 06:15:00,183.81,96171.2
2025-02-17 06:30:00,183.96,96055.81
2025-02-17 06:45:00,184.25,96068.38
2025-02-17 07:00:00,184.73,96242.79
2025-02-17 07:15:00,185.88,96285.46
2025-02-17 07:30:00,186.0,96320.58
2025-02-17 07:45:00,186.0,96459.45
2025-02-17 08:00:00,185.5,96348.96
2025-02-17 08:15:00,185.34,96338.4
2025-02-17 08:30:00,185.23,96358.86
2025-02-17 08:45:00,184.97,96419.56
2025-02-17 09:00:00,186.79,96930.79
2025-02-17 09:15:00,184.78,96600.4
2025-02-17 09:30:00,184.43,96639.92
2025-02-17 09:45:00,184.22,96814.75
2025-02-17 10:00:00,183.16,96622.71
2025-02-17 10:15:00,182.44,96521.03
2025-02-17 10:30:00,181.21,96137.46
2025-02-17 10:45:00,180.37,95669.95
2025-02-17 11:00:00,180.28,95608.46
2025-02-17 11:15:00,178.83,95508.1
2025-02-17 11:30:00,178.57,95523.34
2025-02-17 11:45:00,178.33,95336.93
2025-02-17 12:00:00,178.94,95631.01
2025-02-17 12:15:00,178.1,95375.0
2025-02-17 12:30:00,178.35,95524.39
2025-02-17 12:45:00,177.43,95485.52
2025-02-17 13:00:00,178.05,95654.71
2025-02-17 13:15:00,177.42,95487.92
2025-02-17 13:30:00,176.04,95306.46
2025-02-17 13:45:00,175.69,95329.97
2025-02-17 14:00:00,176.45,95307.29
2025-02-17 14:15:00,177.44,95426.52
2025-02-17 14:30:00,177.4,95457.27
2025-02-17 14:45:00,177.09,95534.03
2025-02-17 15:00:00,178.44,95659.5
2025-02-17 15:15:00,178.82,95795.14
2025-02-17 15:30:00,178.78,96036.69
2025-02-17 15:45:00,178.54,95978.25
2025-02-17 16:00:00,179.44,96082.23
2025-02-17 16:15:00,180.85,96120.0
2025-02-17 16:30:00,180.19,96148.05
2025-02-17 16:45:00,181.19,96406.84
2025-02-17 17:00:00,180.41,96127.32
2025-02-17 17:15:00,179.98,96142.66
2025-02-17 17:30:00,179.97,96046.91
2025-02-17 17:45:00,178.8,95884.64
2025-02-17 18:00:00,178.77,95885.1
2025-02-17 18:15:00,178.18,95763.62
2025-02-17 18:30:00,177.54,95756.1
2025-02-17 18:45:00,177.52,95781.8
2025-02-17 19:00:00,176.99,95896.63
2025-02-17 19:15:00,175.69,95588.01
2025-02-17 19:30:00,176.0,95619.78
2025-02-17 19:45:00,176.77,95621.53
2025-02-17 20:00:00,177.7,95970.99
2025-02-17 20:15:00,177.55,96004.8
2025-02-17 20:30:00,177.53,96093.44
2025-02-17 20:45:00,177.97,96257.23
2025-02-17 21:00:00,177.84,96187.75
2025-02-17 21:15:00,178.24,96206.14
2025-02-17 21:30:00,178.0,96104.88
2025-02-17 21:45:00,178.31,96061.87
2025-02-17 22:00:00,178.42,96161.99
2025-02-17 22:15:00,178.12,96202.39
2025-02-17 22:30:00,177.86,96255.44
2025-02-17 22:45:00,177.97,96200.47
2025-02-17 23:00:00,177.39,96250.4
2025-02-17 23:15:00,176.78,96101.41
2025-02-17 23:30:00,176.99,96216.13
2025-02-17 23:45:00,175.82,96062.72
2025-02-18 00:00:00,174.78,95932.8
2025-02-18 00:15:00,173.63,95874.64
2025-02-18 00:30:00,173.37,95740.97
2025-02-18 00:45:00,172.21,95603.2
2025-02-18 01:00:00,167.49,95309.94
2025-02-18 01:15:00,167.8,95429.12
2025-02-18 01:30:00,167.12,95481.31
2025-02-18 01:45:00,165.29,95361.45
2025-02-18 02:00:00,165.44,95381.67
2025-02-18 02:15:00,167.56,95549.13
2025-02-18 02:30:00,166.44,95454.09
2025-02-18 02:45:00,165.68,95430.03
2025-02-18 03:00:00,165.62,95297.33
2025-02-18 03:15:00,166.56,95443.98
2025-02-18 03:30:00,165.75,95360.03
2025-02-18 03:45:00,163.88,95214.42
2025-02-18 04:00:00,165.15,95423.16
2025-02-18 04:15:00,169.08,95594.4
2025-02-18 04:30:00,168.03,95581.89
2025-02-18 04:45:00,169.96,95756.92
2025-02-18 05:00:00,169.08,95615.93
